step,train_loss,train_accuracy,test_loss,test_accuracy
0,2.147566556930542,0.24898000061511993,2.001112222671509,0.2528
1,1.944586992263794,0.3207400143146515,1.8773398399353027,0.3357
2,1.8494822978973389,0.3568600118160248,1.7803833484649658,0.384
3,1.7968871593475342,0.37422001361846924,1.7518103122711182,0.3838
4,1.7410236597061157,0.39395999908447266,1.6912658214569092,0.407
5,1.6988897323608398,0.40803998708724976,1.686159610748291,0.39
6,1.6567268371582031,0.4211199879646301,1.6724587678909302,0.3983
7,1.652540922164917,0.424699991941452,1.6545743942260742,0.3996
8,1.591017484664917,0.44398000836372375,1.6649078130722046,0.4119
9,1.5945298671722412,0.4461599886417389,1.6197483539581299,0.4404
10,1.6001085042953491,0.4431000053882599,1.6109048128128052,0.4229
11,1.5436700582504272,0.4627000093460083,1.5615509748458862,0.4556
12,1.5350861549377441,0.4668000042438507,1.4903130531311035,0.4653
13,1.5100597143173218,0.47374001145362854,1.4938870668411255,0.4741
14,1.4774200916290283,0.48576000332832336,1.4553897380828857,0.4736
15,1.4778413772583008,0.4848400056362152,1.5304021835327148,0.4575
16,1.4562866687774658,0.4987199902534485,1.4341835975646973,0.4843
17,1.438456416130066,0.5039600133895874,1.462243914604187,0.4763
18,1.4325196743011475,0.5027199983596802,1.373418927192688,0.5146
19,1.4217286109924316,0.5089399814605713,1.3768879175186157,0.5111
20,1.4010692834854126,0.5177000164985657,1.4069017171859741,0.4928
21,1.3928241729736328,0.518779993057251,1.368168592453003,0.512
22,1.3592817783355713,0.5344399809837341,1.4517260789871216,0.481
23,1.3799171447753906,0.5221800208091736,1.4035580158233643,0.5085
24,1.3717612028121948,0.5282400250434875,1.3533856868743896,0.5169
25,1.340518832206726,0.5362200140953064,1.3914601802825928,0.5005
26,1.325687289237976,0.5471600294113159,1.34573495388031,0.5249
27,1.336129069328308,0.5411400198936462,1.5196994543075562,0.4715
28,1.3355801105499268,0.5442000031471252,1.5219252109527588,0.4623
29,1.3065993785858154,0.5528600215911865,1.3388372659683228,0.5261
30,1.2968103885650635,0.5568400025367737,1.4410841464996338,0.4739
31,1.3179079294204712,0.54694002866745,1.2936069965362549,0.5338
32,1.2624361515045166,0.5665199756622314,1.2323875427246094,0.5739
33,1.2641099691390991,0.5649999976158142,1.2329871654510498,0.5576
34,1.235280990600586,0.5797600150108337,1.3921599388122559,0.5091
35,1.2598636150360107,0.5712800025939941,1.2818068265914917,0.5517
36,1.2259998321533203,0.5795000195503235,1.2103660106658936,0.5666
37,1.2358763217926025,0.5771200060844421,1.4341181516647339,0.4897
38,1.2359951734542847,0.5791000127792358,1.265522837638855,0.5501
39,1.2163705825805664,0.5885000228881836,1.263466238975525,0.5378
40,1.2072489261627197,0.5869200229644775,1.2288775444030762,0.5702
41,1.1840897798538208,0.6003999710083008,1.2768778800964355,0.5432
42,1.201628565788269,0.5910599827766418,1.236295461654663,0.5647
43,1.181713342666626,0.5999000072479248,1.2221556901931763,0.5601
44,1.1911863088607788,0.5947200059890747,1.1978814601898193,0.5769
45,1.1498360633850098,0.6093800067901611,1.2882444858551025,0.5445
46,1.1617504358291626,0.6099600195884705,1.3098822832107544,0.5462
47,1.1251569986343384,0.6201599836349487,1.1515344381332397,0.596
48,1.108482003211975,0.6252999901771545,1.2802122831344604,0.5488
49,1.1302464008331299,0.6168199777603149,1.1370432376861572,0.5974
50,1.1375653743743896,0.6172000169754028,1.0935412645339966,0.6206
51,1.1561675071716309,0.6108800172805786,1.1974461078643799,0.5851
52,1.1115117073059082,0.6259199976921082,1.1633796691894531,0.5926
53,1.1070566177368164,0.6267600059509277,1.1660733222961426,0.5912
54,1.1278479099273682,0.6188600063323975,1.1204001903533936,0.6077
55,1.0936732292175293,0.631380021572113,1.129502296447754,0.609
56,1.0971393585205078,0.6296200156211853,1.2629644870758057,0.5568
57,1.0846259593963623,0.6368600130081177,1.1799094676971436,0.5784
58,1.0838210582733154,0.6322000026702881,1.0808627605438232,0.6196
59,1.0640571117401123,0.6410800218582153,1.1484185457229614,0.5994
60,1.0647447109222412,0.6393200159072876,1.1703459024429321,0.5866
61,1.0654289722442627,0.6424999833106995,1.0973947048187256,0.6186
62,1.0710461139678955,0.6370800137519836,1.1418492794036865,0.6039
63,1.0588951110839844,0.6443399786949158,1.1583911180496216,0.5836
64,1.1158106327056885,0.6258999705314636,1.2170650959014893,0.5621
65,1.012230396270752,0.6626399755477905,1.1063181161880493,0.6188
66,1.0218608379364014,0.6535199880599976,1.092661738395691,0.6099
67,1.0553778409957886,0.6494200229644775,1.1269630193710327,0.5989
68,1.0210610628128052,0.6606400012969971,1.1006602048873901,0.6176
69,1.0337448120117188,0.6546599864959717,1.1910691261291504,0.5841
70,1.0422399044036865,0.6534199714660645,1.1975018978118896,0.6003
71,1.016618251800537,0.660260021686554,1.0576404333114624,0.6285
72,0.9945050477981567,0.669979989528656,1.178074598312378,0.5827
73,0.9655084609985352,0.6787999868392944,1.0452046394348145,0.6363
74,0.9907633662223816,0.6697800159454346,1.1053564548492432,0.6109
75,0.9762215614318848,0.6762400269508362,1.1882572174072266,0.5825
76,1.0004637241363525,0.6680999994277954,1.0393528938293457,0.6356
77,0.990279495716095,0.6692600250244141,1.1136194467544556,0.6094
78,0.9876014590263367,0.6732199788093567,1.076005458831787,0.6238
79,0.947699248790741,0.6872199773788452,1.00960373878479,0.6437
80,0.9548899531364441,0.681119978427887,1.0648670196533203,0.6261
81,0.9789425134658813,0.6715400218963623,1.2071093320846558,0.5855
82,0.9504233598709106,0.6828399896621704,1.144598126411438,0.6097
83,0.9577430486679077,0.6828200221061707,1.1095157861709595,0.6188
84,0.9345225095748901,0.6903200149536133,1.000802755355835,0.6505
85,0.9226287603378296,0.6910799741744995,0.9876914024353027,0.6555
86,0.9425970315933228,0.684499979019165,1.0856205224990845,0.6204
87,0.9077739715576172,0.6967399716377258,1.0620205402374268,0.6233
88,0.9472061991691589,0.6834400296211243,0.9980167746543884,0.6448
89,0.9149144291877747,0.6957399845123291,1.0427802801132202,0.6349
90,0.9268511533737183,0.6960600018501282,1.0204862356185913,0.648
91,0.9585990905761719,0.6826800107955933,1.1321173906326294,0.6238
92,0.8769170045852661,0.7106599807739258,1.0492362976074219,0.644
93,0.9227523803710938,0.6944400072097778,0.9548417925834656,0.6693
94,0.9252874255180359,0.694320023059845,1.0637285709381104,0.6334
95,0.8892472386360168,0.707260012626648,1.0155999660491943,0.6452
96,0.872153103351593,0.7137600183486938,0.9924887418746948,0.6547
97,0.9034207463264465,0.7008600234985352,1.2011882066726685,0.5838
98,0.9138550758361816,0.7005199790000916,1.0639681816101074,0.6386
99,0.8880354166030884,0.7074400186538696,0.9671218991279602,0.6615
100,0.9156424403190613,0.6985399723052979,1.0063637495040894,0.6524
101,0.8532723188400269,0.7190799713134766,1.0172721147537231,0.6495
102,0.8869452476501465,0.7059999704360962,0.9879539012908936,0.6564
