step,train_loss,train_accuracy,test_loss,test_accuracy
0,2.14033842086792,0.25189998745918274,2.022167205810547,0.2588
1,1.9644168615341187,0.31088000535964966,1.919372797012329,0.2926
2,1.8730151653289795,0.3444400131702423,1.8817750215530396,0.3291
3,1.8123233318328857,0.36607998609542847,1.7827160358428955,0.3512
4,1.7555888891220093,0.3867399990558624,1.7505161762237549,0.3812
5,1.713165044784546,0.4030199944972992,1.6676089763641357,0.418
6,1.6733862161636353,0.41787999868392944,1.8065476417541504,0.3727
7,1.6578693389892578,0.42254000902175903,1.7071616649627686,0.3955
8,1.593261957168579,0.4451799988746643,1.5604746341705322,0.4479
9,1.6042718887329102,0.442220002412796,1.5979697704315186,0.4202
10,1.5961458683013916,0.4450800120830536,1.5458506345748901,0.4518
11,1.548016905784607,0.4608199894428253,1.4672400951385498,0.4827
12,1.5217522382736206,0.4699000120162964,1.4685345888137817,0.4683
13,1.503494143486023,0.47846001386642456,1.4949897527694702,0.4638
