step,train_loss,train_accuracy,test_loss,test_accuracy
0,2.4078588485717773,0.1599999964237213,2.371366262435913,0.18
1,2.36574125289917,0.16200000047683716,2.3564908504486084,0.178
2,2.3533742427825928,0.164000004529953,2.3440768718719482,0.182
3,2.342827081680298,0.164000004529953,2.3390510082244873,0.18
4,2.3391056060791016,0.1679999977350235,2.336252450942993,0.178
5,2.336909055709839,0.1679999977350235,2.335017204284668,0.176
6,2.3346126079559326,0.17000000178813934,2.3365302085876465,0.176
7,2.3339004516601562,0.1720000058412552,2.3373684883117676,0.174
8,2.332852363586426,0.1679999977350235,2.3394689559936523,0.172
9,2.3342390060424805,0.164000004529953,2.3416748046875,0.172
10,2.335562229156494,0.16599999368190765,2.3446357250213623,0.172
11,2.337766647338867,0.16200000047683716,2.348228931427002,0.168
12,2.3406524658203125,0.15399999916553497,2.3515374660491943,0.172
