step,train_loss,train_accuracy,test_loss,test_accuracy
0,0.8416523933410645,0.7257833480834961,0.5350742340087891,0.817
1,0.4651435613632202,0.8417666554450989,0.4623671770095825,0.8377
2,0.41136807203292847,0.8597333431243896,0.4267660081386566,0.8543
3,0.38441523909568787,0.8672500252723694,0.4075002074241638,0.8585
4,0.3631919026374817,0.8743666410446167,0.3959532082080841,0.8623
5,0.34879517555236816,0.8782166838645935,0.3955616056919098,0.862
6,0.33455854654312134,0.8836833238601685,0.3869526982307434,0.8649
7,0.3214755058288574,0.8873833417892456,0.378269761800766,0.8674
8,0.3164283335208893,0.8899499773979187,0.38054290413856506,0.8672
9,0.3047216832637787,0.8928666710853577,0.3630886971950531,0.8714
10,0.29401737451553345,0.8971999883651733,0.3672887086868286,0.8718
11,0.28361958265304565,0.9005833268165588,0.3600626289844513,0.8757
12,0.28088992834091187,0.9018666744232178,0.35330620408058167,0.8752
13,0.2705259323120117,0.9049166440963745,0.3492283225059509,0.8784
14,0.2629457116127014,0.9074000120162964,0.3471302092075348,0.8802
15,0.25841233134269714,0.9096500277519226,0.341724157333374,0.8824
16,0.25107258558273315,0.911899983882904,0.34900709986686707,0.8802
17,0.24690231680870056,0.9150833487510681,0.3411993086338043,0.8828
18,0.23977859318256378,0.9159666895866394,0.34555673599243164,0.8821
19,0.2363366037607193,0.9183499813079834,0.3465931713581085,0.883
20,0.235120490193367,0.9175000190734863,0.34625715017318726,0.8828
21,0.22978989779949188,0.9202499985694885,0.3532237112522125,0.8782
22,0.22772742807865143,0.9213666915893555,0.34704750776290894,0.883
23,0.2210119068622589,0.9231500029563904,0.3469621241092682,0.8841
24,0.21585357189178467,0.924916684627533,0.34995171427726746,0.8835
25,0.21568232774734497,0.9259999990463257,0.37287670373916626,0.8788
26,0.21831011772155762,0.9243500232696533,0.3606639504432678,0.8818
27,0.21117810904979706,0.9273333549499512,0.3496050536632538,0.8839
28,0.2063082456588745,0.9280999898910522,0.3529032766819,0.8855
29,0.20648017525672913,0.9284499883651733,0.3594173192977905,0.8798
30,0.20135976374149323,0.9314500093460083,0.35130661725997925,0.8836
31,0.19488759338855743,0.9328166842460632,0.36262667179107666,0.8812
32,0.19302652776241302,0.934149980545044,0.3558884561061859,0.8833
33,0.19264809787273407,0.933899998664856,0.3561600148677826,0.8845
34,0.19158796966075897,0.9344499707221985,0.3599434196949005,0.8831
35,0.19285880029201508,0.934499979019165,0.35441216826438904,0.8852
36,0.18417885899543762,0.9366166591644287,0.3757902681827545,0.8799
37,0.1825340986251831,0.9376500248908997,0.37581679224967957,0.8857
38,0.18065671622753143,0.9386500120162964,0.39528945088386536,0.8804
39,0.18282240629196167,0.9372000098228455,0.3743883967399597,0.8829
40,0.17604279518127441,0.9401666522026062,0.3790082037448883,0.8828
41,0.17803731560707092,0.9396166801452637,0.3668883740901947,0.8867
42,0.1719040721654892,0.9427666664123535,0.3816285729408264,0.8856
43,0.17052914202213287,0.9425166845321655,0.3729974031448364,0.8844
44,0.16529937088489532,0.944016695022583,0.38148537278175354,0.8843
45,0.1680193990468979,0.9434166550636292,0.38846081495285034,0.8842
46,0.17105145752429962,0.941516637802124,0.3933163285255432,0.8818
47,0.17039945721626282,0.942216694355011,0.3991311490535736,0.8812
48,0.1695481389760971,0.9427833557128906,0.3935655653476715,0.8829
49,0.1618802845478058,0.9457166790962219,0.3852445185184479,0.8825
