step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.9974167346954346,0.5474777221679688,0.0,0.5474777221679688,0.0,0.0,0.9999880434262758
1,0.9210107326507568,0.5886211395263672,0.0,0.6297645568847656,0.0,0.0,0.9999940967193501
2,0.7661733627319336,0.6623414158821106,0.0,0.8097820281982422,0.0,0.0,0.9999831618024976
3,0.6893736124038696,0.6993346214294434,0.0,0.8103141784667969,0.0,0.0,0.9999900377767506
4,0.6326069831848145,0.7238224148750305,0.0,0.8217735290527344,0.0,0.0,1.0
5,0.6168248057365417,0.7284380793571472,0.0,0.7515163421630859,0.0,0.0,0.9999778979887038
6,0.5786386728286743,0.7471079230308533,0.0,0.8591270446777344,0.0,0.0,0.9999968724979984
7,0.5433937907218933,0.7684156894683838,0.0,0.9175701141357422,0.0,0.0,1.0
8,0.5583145618438721,0.7608784437179565,0.0,0.7005805969238281,0.0,0.0,1.0
9,0.5582466721534729,0.7608457803726196,0.0,0.7605514526367188,0.0,0.0,1.0
10,0.5476773381233215,0.7666202783584595,0.0,0.8243656158447266,0.0,0.0,0.9999980244025793
11,0.5477198362350464,0.766277015209198,0.0,0.7625007629394531,0.0,0.0,1.0
12,0.5339604020118713,0.774058997631073,0.0,0.8674430847167969,0.0,0.0,1.0
13,0.5209720730781555,0.7813449501991272,0.0,0.8760623931884766,0.0,0.0,1.0
14,0.5415187478065491,0.7725965976715088,0.0,0.6501197814941406,0.0,0.0,1.0
15,0.5349600315093994,0.7761220932006836,0.0,0.8290042877197266,0.0,0.0,0.9999980003839263
16,0.5412076115608215,0.7732185125350952,0.0,0.7267608642578125,0.0,0.0,0.999993360128902
17,0.5318020582199097,0.7777735590934753,0.0,0.8552093505859375,0.0,0.0,1.0
18,0.5396934747695923,0.7743127942085266,0.0,0.7120189666748047,0.0,0.0,1.0
19,0.5360101461410522,0.7743307948112488,0.0,0.7746734619140625,0.0,0.0,1.0
20,0.534376323223114,0.7744054198265076,0.0,0.7758979797363281,0.0,0.0,1.0
21,0.5357485413551331,0.7732047438621521,0.0,0.7479896545410156,0.0,0.0,1.0
22,0.544092059135437,0.7682034969329834,0.0,0.6581764221191406,0.0,0.0,0.9999956388249249
23,0.5408850312232971,0.7697940468788147,0.0,0.8063774108886719,0.0,0.0,1.0
24,0.5389492511749268,0.7688655257225037,0.0,0.7465801239013672,0.0,0.0,1.0
25,0.5402625203132629,0.76871258020401,0.0,0.7648887634277344,0.0,0.0,1.0
26,0.53696209192276,0.7707698345184326,0.0,0.8242588043212891,0.0,0.0,1.0
27,0.5432916879653931,0.7694018483161926,0.0,0.7324657440185547,0.0,0.0,1.0
28,0.5409634113311768,0.7715661525726318,0.0,0.8321666717529297,0.0,0.0,1.0
29,0.55523681640625,0.7667184472084045,0.0,0.6261348724365234,0.0,0.0,1.0
30,0.5550950169563293,0.7676892280578613,0.0,0.79681396484375,0.0,0.0,1.0
31,0.5474929809570312,0.770799458026886,0.0,0.8672161102294922,0.0,0.0,1.0
