step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.693679928779602,0.6172924041748047,0.0,0.6172924041748047,0.0,0.0,1.0
1,0.692643404006958,0.6123971939086914,0.0,0.6075019836425781,0.0,0.0,1.0
2,0.6739470958709717,0.6515929102897644,0.0,0.7299842834472656,0.0,0.0,1.0
3,0.6201655864715576,0.6983399391174316,0.0,0.8385810852050781,0.0,0.0,1.0
4,0.5824593305587769,0.7315567135810852,0.0,0.8644237518310547,0.0,0.0,1.0
5,0.5789055824279785,0.7332563400268555,0.0,0.7417545318603516,0.0,0.0,1.0
6,0.5583568215370178,0.7541291117668152,0.0,0.8793659210205078,0.0,0.0,1.0
7,0.5437539219856262,0.7611443996429443,0.0,0.8102512359619141,0.0,0.0,1.0
8,0.5517375469207764,0.7568037509918213,0.0,0.7220783233642578,0.0,0.0,1.0
9,0.5405682921409607,0.7616432309150696,0.0,0.8051986694335938,0.0,0.0,1.0
10,0.5312386155128479,0.7658781409263611,0.0,0.8082275390625,0.0,0.0,1.0
11,0.5225679874420166,0.7676666378974915,0.0,0.7873401641845703,0.0,0.0,1.0
12,0.51320880651474,0.7729644775390625,0.0,0.8365383148193359,0.0,0.0,1.0
13,0.5048753619194031,0.7755173444747925,0.0,0.8087043762207031,0.0,0.0,1.0
14,0.5050271153450012,0.7726213932037354,0.0,0.7320785522460938,0.0,0.0,1.0
15,0.501677393913269,0.7760341167449951,0.0,0.8272247314453125,0.0,0.0,1.0
16,0.5011215806007385,0.7758801579475403,0.0,0.7734165191650391,0.0,0.0,1.0
17,0.49520641565322876,0.7783805131912231,0.0,0.8208866119384766,0.0,0.0,1.0
18,0.4936198592185974,0.7785665392875671,0.0,0.7819156646728516,0.0,0.0,1.0
19,0.4904516339302063,0.7778087854385376,0.0,0.7634105682373047,0.0,0.0,1.0
20,0.4905097484588623,0.7749250531196594,0.0,0.7172508239746094,0.0,0.0,1.0
21,0.4905652105808258,0.7705063223838806,0.0,0.6777133941650391,0.0,0.0,1.0
22,0.49024754762649536,0.7671982049942017,0.0,0.6944198608398438,0.0,0.0,1.0
23,0.48347237706184387,0.7685454487800598,0.0,0.7995319366455078,0.0,0.0,1.0
24,0.4800187051296234,0.7710448503494263,0.0,0.8310298919677734,0.0,0.0,1.0
25,0.47608116269111633,0.7706600427627563,0.0,0.7610397338867188,0.0,0.0,1.0
26,0.4788815677165985,0.7670708894729614,0.0,0.6737537384033203,0.0,0.0,1.0
27,0.47928696870803833,0.7689603567123413,0.0,0.8199748992919922,0.0,0.0,1.0
28,0.478965163230896,0.7712107300758362,0.0,0.8342208862304688,0.0,0.0,1.0
29,0.4766462445259094,0.7725210785865784,0.0,0.8105220794677734,0.0,0.0,1.0
30,0.4779592454433441,0.7689427733421326,0.0,0.6615943908691406,0.0,0.0,1.0
31,0.472693532705307,0.7715981006622314,0.0,0.853912353515625,0.0,0.0,1.0
32,0.46834680438041687,0.77277010679245,0.0,0.8102741241455078,0.0,0.0,1.0
33,0.4693620204925537,0.7720990180969238,0.0,0.7499542236328125,0.0,0.0,1.0
34,0.4639008045196533,0.7747687697410583,0.0,0.86553955078125,0.0,0.0,1.0
35,0.46075719594955444,0.777431070804596,0.0,0.8706111907958984,0.0,0.0,1.0
36,0.46284738183021545,0.7765020132064819,0.0,0.7430572509765625,0.0,0.0,1.0
37,0.46298468112945557,0.7751097679138184,0.0,0.7235965728759766,0.0,0.0,1.0
38,0.4604707956314087,0.7755301594734192,0.0,0.79150390625,0.0,0.0,1.0
39,0.45763176679611206,0.7769758701324463,0.0,0.8333587646484375,0.0,0.0,1.0
40,0.4553920328617096,0.7782878279685974,0.0,0.8307666778564453,0.0,0.0,1.0
41,0.45089221000671387,0.7798983454704285,0.0,0.8459300994873047,0.0,0.0,1.0
42,0.45564034581184387,0.7787318825721741,0.0,0.7297401428222656,0.0,0.0,1.0
43,0.4539196193218231,0.7786098718643188,0.0,0.7733631134033203,0.0,0.0,1.0
44,0.45370781421661377,0.7790079116821289,0.0,0.7965202331542969,0.0,0.0,1.0
45,0.4525679349899292,0.7802324891090393,0.0,0.8353366851806641,0.0,0.0,1.0
46,0.4534320533275604,0.7796897292137146,0.0,0.7547225952148438,0.0,0.0,1.0
47,0.45096704363822937,0.7810161113739014,0.0,0.8433570861816406,0.0,0.0,1.0
48,0.450694739818573,0.7812991738319397,0.0,0.7948875427246094,0.0,0.0,1.0
49,0.4534511864185333,0.7774001955986023,0.0,0.5863513946533203,0.0,0.0,1.0
50,0.45290568470954895,0.7762382626533508,0.0,0.7181396484375,0.0,0.0,1.0
51,0.45239320397377014,0.7759659886360168,0.0,0.7620811462402344,0.0,0.0,1.0
52,0.4488741457462311,0.7768742442131042,0.0,0.8241043090820312,0.0,0.0,1.0
53,0.45421844720840454,0.774658203125,0.0,0.6572074890136719,0.0,0.0,1.0
54,0.45077428221702576,0.7759572267532349,0.0,0.8461036682128906,0.0,0.0,1.0
55,0.4490056037902832,0.7766265869140625,0.0,0.8134441375732422,0.0,0.0,1.0
56,0.44589266180992126,0.7791211605072021,0.0,0.9188156127929688,0.0,0.0,1.0
57,0.4419126510620117,0.7809869050979614,0.0,0.8873386383056641,0.0,0.0,1.0
58,0.44105955958366394,0.7812684178352356,0.0,0.7975959777832031,0.0,0.0,1.0
59,0.4380744695663452,0.781729519367218,0.0,0.8089313507080078,0.0,0.0,1.0
60,0.4362369775772095,0.7827575206756592,0.0,0.8444347381591797,0.0,0.0,1.0
61,0.43698030710220337,0.7809210419654846,0.0,0.6688957214355469,0.0,0.0,1.0
