step,train_loss,train_accuracy,jaccard index(JA),dice coefficient(DI),Accuracy(AC),sensitivity(SE),specificity(SP)
0,0.6922768950462341,0.5682086944580078,0.0,0.5682086944580078,0.0,0.0,1.0
1,0.6911876201629639,0.6169757843017578,0.0,0.6657428741455078,0.0,0.0,1.0
2,0.6659597754478455,0.6646715998649597,0.0,0.7600631713867188,0.0,0.0,1.0
3,0.62529456615448,0.6993451118469238,0.0,0.8033657073974609,0.0,0.0,1.0
4,0.5815397500991821,0.7262763977050781,0.0,0.8340015411376953,0.0,0.0,1.0
5,0.5490233302116394,0.7436177134513855,0.0,0.8303241729736328,0.0,0.0,1.0
6,0.5385964512825012,0.7461743950843811,0.0,0.7615146636962891,0.0,0.0,1.0
7,0.5180731415748596,0.7600960731506348,0.0,0.8575477600097656,0.0,0.0,1.0
8,0.5487115383148193,0.7594971060752869,0.0,0.7547054290771484,0.0,0.0,1.0
9,0.5401433706283569,0.7608522176742554,0.0,0.7730484008789062,0.0,0.0,1.0
10,0.5268067717552185,0.7670374512672424,0.0,0.8288898468017578,0.0,0.0,1.0
11,0.5186542272567749,0.7686168551445007,0.0,0.7859897613525391,0.0,0.0,1.0
12,0.5080591440200806,0.7732924222946167,0.0,0.8293991088867188,0.0,0.0,1.0
13,0.502302348613739,0.773616373538971,0.0,0.7778282165527344,0.0,0.0,1.0
14,0.5023348927497864,0.7723909020423889,0.0,0.7552337646484375,0.0,0.0,1.0
15,0.5041345953941345,0.7690943479537964,0.0,0.7196464538574219,0.0,0.0,1.0
16,0.49821987748146057,0.7710351347923279,0.0,0.8020877838134766,0.0,0.0,1.0
17,0.49153661727905273,0.7777776718139648,0.0,0.8924007415771484,0.0,0.0,1.0
18,0.4955257177352905,0.7710015177726746,0.0,0.6490306854248047,0.0,0.0,1.0
19,0.4855678081512451,0.7760087847709656,0.0,0.8711471557617188,0.0,0.0,1.0
20,0.48711705207824707,0.7696524262428284,0.0,0.6425247192382812,0.0,0.0,1.0
21,0.4811145067214966,0.7716821432113647,0.0,0.8143062591552734,0.0,0.0,1.0
22,0.47647181153297424,0.7719241976737976,0.0,0.7772502899169922,0.0,0.0,1.0
23,0.472953200340271,0.7694178223609924,0.0,0.7117710113525391,0.0,0.0,1.0
24,0.4671657979488373,0.772519588470459,0.0,0.8469619750976562,0.0,0.0,1.0
25,0.4729325473308563,0.7686519622802734,0.0,0.6719608306884766,0.0,0.0,1.0
26,0.4704875349998474,0.7697941064834595,0.0,0.7994899749755859,0.0,0.0,1.0
27,0.46705764532089233,0.7689603567123413,0.0,0.7464485168457031,0.0,0.0,1.0
28,0.46651262044906616,0.770713210105896,0.0,0.819793701171875,0.0,0.0,1.0
29,0.4641416668891907,0.7702640295028687,0.0,0.7572383880615234,0.0,0.0,1.0
30,0.46230241656303406,0.7699468731880188,0.0,0.7604312896728516,0.0,0.0,1.0
31,0.4556651711463928,0.7735692858695984,0.0,0.8858642578125,0.0,0.0,1.0
32,0.45269346237182617,0.7731120586395264,0.0,0.7584800720214844,0.0,0.0,1.0
33,0.4541148543357849,0.7709124088287354,0.0,0.6983242034912109,0.0,0.0,1.0
34,0.4496113955974579,0.7738268375396729,0.0,0.8729171752929688,0.0,0.0,1.0
35,0.45249053835868835,0.7745001316070557,0.0,0.798065185546875,0.0,0.0,1.0
36,0.4482914209365845,0.776585042476654,0.0,0.8516426086425781,0.0,0.0,1.0
37,0.44405123591423035,0.7780101895332336,0.0,0.8307418823242188,0.0,0.0,1.0
38,0.44166961312294006,0.7783039808273315,0.0,0.7894668579101562,0.0,0.0,1.0
39,0.4408556818962097,0.7775366902351379,0.0,0.7476119995117188,0.0,0.0,1.0
40,0.43711182475090027,0.7787483334541321,0.0,0.8272151947021484,0.0,0.0,1.0
41,0.4333854019641876,0.7797393798828125,0.0,0.8203697204589844,0.0,0.0,1.0
42,0.4326449930667877,0.7786959409713745,0.0,0.7348709106445312,0.0,0.0,1.0
43,0.4327942728996277,0.7784683704376221,0.0,0.7686824798583984,0.0,0.0,1.0
44,0.4316471517086029,0.7773854732513428,0.0,0.7297344207763672,0.0,0.0,1.0
45,0.4282092750072479,0.7802278399467468,0.0,0.9081363677978516,0.0,0.0,1.0
46,0.4263947308063507,0.780667245388031,0.0,0.8008785247802734,0.0,0.0,1.0
47,0.4255950450897217,0.7809608578681946,0.0,0.7947616577148438,0.0,0.0,1.0
48,0.4247206747531891,0.7813320755958557,0.0,0.7991485595703125,0.0,0.0,1.0
49,0.43654853105545044,0.7743751406669617,0.0,0.4334888458251953,0.0,0.0,1.0
50,0.4344775378704071,0.7759881019592285,0.0,0.8566341400146484,0.0,0.0,1.0
51,0.4323054850101471,0.77685546875,0.0,0.8210906982421875,0.0,0.0,1.0
52,0.4309588074684143,0.7785592675209045,0.0,0.8671588897705078,0.0,0.0,1.0
53,0.42973822355270386,0.77814781665802,0.0,0.7563419342041016,0.0,0.0,1.0
54,0.4299747943878174,0.7766163945198059,0.0,0.6939201354980469,0.0,0.0,1.0
55,0.4299059808254242,0.7772594094276428,0.0,0.8126239776611328,0.0,0.0,1.0
56,0.4296559989452362,0.7772005796432495,0.0,0.7739067077636719,0.0,0.0,1.0
57,0.42656129598617554,0.7786431908607483,0.0,0.860870361328125,0.0,0.0,1.0
58,0.42389115691185,0.7801123261451721,0.0,0.8653202056884766,0.0,0.0,1.0
59,0.4215284287929535,0.7815343141555786,0.0,0.8654308319091797,0.0,0.0,1.0
60,0.4187460243701935,0.7831477522850037,0.0,0.8799552917480469,0.0,0.0,1.0
61,0.4185210168361664,0.7816553711891174,0.0,0.6906166076660156,0.0,0.0,1.0
62,0.4182486832141876,0.781442403793335,0.24643488337328842,0.7682437896728516,0.31676870701102944,0.4609686437459069,0.8901843322210418
63,0.4202999472618103,0.7815134525299072,0.4487504973095469,0.7859897613525391,0.5828421356669161,0.44878271156867416,0.9999980394002133
64,0.41835761070251465,0.7837552428245544,0.6373318255396451,0.9272308349609375,0.7506223869910273,0.7552203670854035,0.9814728969697858
