step,train_loss,train_accuracy,test_loss,test_accuracy
0,0.8122771978378296,0.7367333173751831,0.5249338746070862,0.8171
1,0.4553893506526947,0.8442333340644836,0.4598287045955658,0.8382
2,0.4048648178577423,0.8600000143051147,0.4275404214859009,0.8495
3,0.37369391322135925,0.8696666955947876,0.40068936347961426,0.8573
4,0.35054802894592285,0.878000020980835,0.3826824128627777,0.8625
5,0.33440324664115906,0.8830000162124634,0.3945455253124237,0.8585
6,0.3180200755596161,0.8884833455085754,0.36624887585639954,0.8669
7,0.3043731451034546,0.8928666710853577,0.35795673727989197,0.8719
8,0.295541912317276,0.8968833088874817,0.3556675910949707,0.8737
9,0.2854960262775421,0.899733304977417,0.3460310101509094,0.8774
10,0.2832868695259094,0.9023500084877014,0.3514240086078644,0.8758
11,0.2707914113998413,0.9051333069801331,0.3552175760269165,0.876
12,0.26672258973121643,0.9068999886512756,0.3507922887802124,0.8785
13,0.2659567892551422,0.9066833257675171,0.34776973724365234,0.8782
14,0.2620374858379364,0.9095500111579895,0.3674013316631317,0.8718
15,0.2503259778022766,0.9121666550636292,0.34544849395751953,0.8797
16,0.24663981795310974,0.9143000245094299,0.3522379696369171,0.8784
17,0.23977671563625336,0.9164999723434448,0.34075644612312317,0.8822
18,0.2350991666316986,0.918483316898346,0.34093183279037476,0.8824
19,0.2308683842420578,0.9194999933242798,0.351545512676239,0.8805
20,0.22713947296142578,0.9211999773979187,0.3541536033153534,0.8806
21,0.21961483359336853,0.9235833287239075,0.3477344810962677,0.8831
22,0.21718840301036835,0.9244499802589417,0.3488002121448517,0.8825
23,0.21417240798473358,0.9255499839782715,0.35898736119270325,0.8785
24,0.2106882631778717,0.9267666935920715,0.3494831323623657,0.882
25,0.20395436882972717,0.9302999973297119,0.3472248613834381,0.8845
26,0.21140509843826294,0.9263833165168762,0.3681836426258087,0.8784
27,0.20120176672935486,0.930983304977417,0.3671106696128845,0.877
28,0.19895170629024506,0.9305999875068665,0.36804434657096863,0.8807
29,0.19344009459018707,0.9332666397094727,0.3624880313873291,0.8842
30,0.19604213535785675,0.9320666790008545,0.368369460105896,0.8824
31,0.18909864127635956,0.9345666766166687,0.35898593068122864,0.8853
32,0.18953828513622284,0.9352333545684814,0.3673120439052582,0.8832
33,0.1878739446401596,0.9364333152770996,0.3616507649421692,0.8857
34,0.18220821022987366,0.937416672706604,0.3765449821949005,0.8843
35,0.1771852821111679,0.9398166537284851,0.37715381383895874,0.8829
36,0.177975133061409,0.93954998254776,0.39207085967063904,0.8778
37,0.1782880574464798,0.9394333362579346,0.37096408009529114,0.8858
38,0.17292320728302002,0.9421333074569702,0.39120882749557495,0.8791
39,0.17943055927753448,0.9379333257675171,0.3802523910999298,0.8825
40,0.17416247725486755,0.9404833316802979,0.3876837491989136,0.8798
41,0.16901980340480804,0.9422833323478699,0.3753105401992798,0.8851
42,0.1654118001461029,0.9439833164215088,0.384914368391037,0.8845
43,0.16064193844795227,0.9457333087921143,0.3835780620574951,0.8853
44,0.16150438785552979,0.9454666376113892,0.4006229043006897,0.8808
45,0.16038289666175842,0.9456666707992554,0.39991727471351624,0.883
46,0.15897361934185028,0.9466000199317932,0.39757248759269714,0.8825
47,0.1564210057258606,0.947433352470398,0.39877578616142273,0.881
48,0.15741369128227234,0.9474499821662903,0.41137421131134033,0.8801
49,0.15519720315933228,0.9480000138282776,0.40233972668647766,0.8862
